assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_042030035.1	HG03654_pat	HG03654	Hap1	HG03654_Hap1
GCA_042029925.1	HG03669_pat	HG03669	Hap1	HG03669_Hap1
GCA_042030025.1	HG03688_pat	HG03688	Hap1	HG03688_Hap1
GCA_042027445.1	HG03704_pat	HG03704	Hap1	HG03704_Hap1
GCA_042030055.1	HG03710_pat	HG03710	Hap1	HG03710_Hap1
GCA_042028725.1	HG03831_pat	HG03831	Hap1	HG03831_Hap1
GCA_042028845.1	HG03927_pat	HG03927	Hap1	HG03927_Hap1
GCA_042029955.1	HG04115_pat	HG04115	Hap1	HG04115_Hap1
GCA_042028635.1	HG04184_pat	HG04184	Hap1	HG04184_Hap1
GCA_042030015.1	HG04199_pat	HG04199	Hap1	HG04199_Hap1
GCA_046056435.1	HG02738_pat	HG02738	Hap1	HG02738_Hap1
GCA_018472575.2	HG00621_pat	HG00621	Hap1	HG00621_Hap1
GCA_018471105.2	HG00741_pat	HG00741	Hap1	HG00741_Hap1
GCA_018471075.2	HG01106_pat	HG01106	Hap1	HG01106_Hap1
GCA_018471065.2	HG01175_pat	HG01175	Hap1	HG01175_Hap1
GCA_018469675.2	HG01258_pat	HG01258	Hap1	HG01258_Hap1
GCA_018467165.2	HG01891_pat	HG01891	Hap1	HG01891_Hap1
GCA_018471555.2	HG01952_pat	HG01952	Hap1	HG01952_Hap1
GCA_018471525.2	HG02148_pat	HG02148	Hap1	HG02148_Hap1
GCA_018467005.2	HG02486_pat	HG02486	Hap1	HG02486_Hap1
GCA_018466855.2	HG02559_pat	HG02559	Hap1	HG02559_Hap1
GCA_018470435.2	HG02572_pat	HG02572	Hap1	HG02572_Hap1
GCA_018469925.2	HG02622_pat	HG02622	Hap1	HG02622_Hap1
GCA_018470465.2	HG02886_pat	HG02886	Hap1	HG02886_Hap1
GCA_018473305.2	HG03453_pat	HG03453	Hap1	HG03453_Hap1
GCA_018473315.2	HG03540_pat	HG03540	Hap1	HG03540_Hap1
GCA_042032525.1	HG00099_pat	HG00099	Hap1	HG00099_Hap1
GCA_042031265.1	HG00140_pat	HG00140	Hap1	HG00140_Hap1
GCA_042031275.1	HG00280_pat	HG00280	Hap1	HG00280_Hap1
GCA_042032465.1	HG00323_pat	HG00323	Hap1	HG00323_Hap1
GCA_042032555.1	HG02040_pat	HG02040	Hap1	HG02040_Hap1
GCA_042032565.1	HG02165_pat	HG02165	Hap1	HG02165_Hap1
GCA_042031155.1	HG02273_pat	HG02273	Hap1	HG02273_Hap1
GCA_042031165.1	HG02922_pat	HG02922	Hap1	HG02922_Hap1
GCA_042032535.1	HG02965_pat	HG02965	Hap1	HG02965_Hap1
GCA_042031255.1	HG02976_pat	HG02976	Hap1	HG02976_Hap1
GCA_042032345.1	HG03130_pat	HG03130	Hap1	HG03130_Hap1
GCA_042031175.1	HG03195_pat	HG03195	Hap1	HG03195_Hap1
GCA_042032445.1	HG03209_pat	HG03209	Hap1	HG03209_Hap1
GCA_042031325.1	NA18522_pat	NA18522	Hap1	NA18522_Hap1
GCA_042031315.1	NA18747_pat	NA18747	Hap1	NA18747_Hap1
GCA_042032395.1	NA18971_pat	NA18971	Hap1	NA18971_Hap1
GCA_042032545.1	NA18983_pat	NA18983	Hap1	NA18983_Hap1
GCA_042031205.1	NA19043_pat	NA19043	Hap1	NA19043_Hap1
GCA_042032625.1	NA20905_pat	NA20905	Hap1	NA20905_Hap1
GCA_042034285.1	HG01530_pat	HG01530	Hap1	HG01530_Hap1
GCA_042034305.1	HG01784_pat	HG01784	Hap1	HG01784_Hap1
GCA_042034315.1	HG02391_pat	HG02391	Hap1	HG02391_Hap1
GCA_042034215.1	HG03471_pat	HG03471	Hap1	HG03471_Hap1
GCA_042034325.1	HG03742_pat	HG03742	Hap1	HG03742_Hap1
GCA_042034345.1	NA18570_pat	NA18570	Hap1	NA18570_Hap1
GCA_042034335.1	NA19087_pat	NA19087	Hap1	NA19087_Hap1
GCA_042035275.1	NA19185_pat	NA19185	Hap1	NA19185_Hap1
GCA_042035195.1	NA19338_pat	NA19338	Hap1	NA19338_Hap1
GCA_042035185.1	NA19391_pat	NA19391	Hap1	NA19391_Hap1
GCA_042035225.1	NA19468_pat	NA19468	Hap1	NA19468_Hap1
GCA_018472595.2	HG00438_pat	HG00438	Hap1	HG00438_Hap1
GCA_042037725.1	HG00558_pat	HG00558	Hap1	HG00558_Hap1
GCA_042037765.1	HG00639_pat	HG00639	Hap1	HG00639_Hap1
GCA_042037975.1	HG00658_pat	HG00658	Hap1	HG00658_Hap1
GCA_018472585.2	HG00673_pat	HG00673	Hap1	HG00673_Hap1
GCA_018472725.2	HG01071_pat	HG01071	Hap1	HG01071_Hap1
GCA_042037995.1	HG01074_pat	HG01074	Hap1	HG01074_Hap1
GCA_042037825.1	HG01081_pat	HG01081	Hap1	HG01081_Hap1
GCA_018469695.2	HG01123_pat	HG01123	Hap1	HG01123_Hap1
GCA_042037855.1	HG01150_pat	HG01150	Hap1	HG01150_Hap1
GCA_042038865.1	HG01252_pat	HG01252	Hap1	HG01252_Hap1
GCA_018469965.2	HG01358_pat	HG01358	Hap1	HG01358_Hap1
GCA_018469705.2	HG01361_pat	HG01361	Hap1	HG01361_Hap1
GCA_018472705.2	HG01928_pat	HG01928	Hap1	HG01928_Hap1
GCA_042038875.1	HG01934_pat	HG01934	Hap1	HG01934_Hap1
GCA_042037875.1	HG01940_pat	HG01940	Hap1	HG01940_Hap1
GCA_042037895.1	HG01960_pat	HG01960	Hap1	HG01960_Hap1
GCA_042037885.1	HG01969_pat	HG01969	Hap1	HG01969_Hap1
GCA_018472845.2	HG01978_pat	HG01978	Hap1	HG01978_Hap1
GCA_042036435.1	HG02071_pat	HG02071	Hap1	HG02071_Hap1
GCA_042036445.1	HG02074_pat	HG02074	Hap1	HG02074_Hap1
GCA_042036495.1	HG02135_pat	HG02135	Hap1	HG02135_Hap1
GCA_018466835.2	HG02257_pat	HG02257	Hap1	HG02257_Hap1
GCA_042038895.1	HG02668_pat	HG02668	Hap1	HG02668_Hap1
