assembly_accession	sample_name	GenomeID	haplotype	GenHapID
GCA_042077755.1	HG02178_mat	HG02178	Hap2	HG02178_Hap2
GCA_042076715.1	HG02583_mat	HG02583	Hap2	HG02583_Hap2
GCA_042077465.1	HG03270_mat	HG03270	Hap2	HG03270_Hap2
GCA_042077425.1	HG03583_mat	HG03583	Hap2	HG03583_Hap2
GCA_042076685.1	HG03874_mat	HG03874	Hap2	HG03874_Hap2
GCA_042077345.1	NA18505_mat	NA18505	Hap2	NA18505_Hap2
GCA_042077155.1	NA18508_mat	NA18508	Hap2	NA18508_Hap2
GCA_042077335.1	NA18608_mat	NA18608	Hap2	NA18608_Hap2
GCA_042077305.1	NA18620_mat	NA18620	Hap2	NA18620_Hap2
GCA_042077325.1	NA18952_mat	NA18952	Hap2	NA18952_Hap2
GCA_042077285.1	NA18974_mat	NA18974	Hap2	NA18974_Hap2
GCA_042077165.1	NA18976_mat	NA18976	Hap2	NA18976_Hap2
GCA_042077135.1	NA19036_mat	NA19036	Hap2	NA19036_Hap2
GCA_042076705.1	NA19443_mat	NA19443	Hap2	NA19443_Hap2
GCA_042076885.1	NA19700_mat	NA19700	Hap2	NA19700_Hap2
GCA_042077145.1	NA20870_mat	NA20870	Hap2	NA20870_Hap2
GCA_042076875.1	NA21093_mat	NA21093	Hap2	NA21093_Hap2
GCA_042076865.1	NA21106_mat	NA21106	Hap2	NA21106_Hap2
GCA_042077185.1	NA21110_mat	NA21110	Hap2	NA21110_Hap2
GCA_046043145.1	HG02392_mat	HG02392	Hap2	HG02392_Hap2
GCA_045524175.1	HG02514_mat	HG02514	Hap2	HG02514_Hap2
GCA_045524615.1	HG02841_mat	HG02841	Hap2	HG02841_Hap2
GCA_045524165.1	HG02984_mat	HG02984	Hap2	HG02984_Hap2
GCA_045524515.1	HG03050_mat	HG03050	Hap2	HG03050_Hap2
GCA_045524135.1	NA20799_mat	NA20799	Hap2	NA20799_Hap2
GCA_018504365.2	HG01109_mat	HG01109	Hap2	HG01109_Hap2
GCA_018506125.2	HG02055_mat	HG02055	Hap2	HG02055_Hap2
GCA_018504085.2	HG02080_mat	HG02080	Hap2	HG02080_Hap2
GCA_018505825.2	HG02109_mat	HG02109	Hap2	HG02109_Hap2
GCA_018504065.2	HG02723_mat	HG02723	Hap2	HG02723_Hap2
GCA_018503585.2	HG02818_mat	HG02818	Hap2	HG02818_Hap2
GCA_018506165.2	HG03098_mat	HG03098	Hap2	HG03098_Hap2
GCA_018503525.2	HG03486_mat	HG03486	Hap2	HG03486_Hap2
GCA_018503255.2	NA18906_mat	NA18906	Hap2	NA18906_Hap2
GCA_018504635.2	NA20129_mat	NA20129	Hap2	NA20129_Hap2
GCA_018504655.2	NA21309_mat	NA21309	Hap2	NA21309_Hap2
GCA_018506975.2	HG00733_mat	HG00733	Hap2	HG00733_Hap2
GCA_018504375.2	HG01243_mat	HG01243	Hap2	HG01243_Hap2
GCA_018503275.2	NA19240_mat	NA19240	Hap2	NA19240_Hap2
GCA_018506965.2	HG005_mat	HG005	Hap2	HG005_Hap2
GCA_044164745.1	HG00097_mat	HG00097	Hap2	HG00097_Hap2
GCA_044165735.1	HG00235_mat	HG00235	Hap2	HG00235_Hap2
GCA_044166835.1	HG00253_mat	HG00253	Hap2	HG00253_Hap2
GCA_044166665.1	HG00272_mat	HG00272	Hap2	HG00272_Hap2
GCA_044166465.1	HG00329_mat	HG00329	Hap2	HG00329_Hap2
GCA_044166845.1	HG00344_mat	HG00344	Hap2	HG00344_Hap2
GCA_044167285.1	HG00350_mat	HG00350	Hap2	HG00350_Hap2
GCA_044166785.1	HG01167_mat	HG01167	Hap2	HG01167_Hap2
GCA_044166625.1	HG03369_mat	HG03369	Hap2	HG03369_Hap2
GCA_044166645.1	HG03521_mat	HG03521	Hap2	HG03521_Hap2
GCA_044165595.1	HG03784_mat	HG03784	Hap2	HG03784_Hap2
GCA_044165725.1	NA18565_mat	NA18565	Hap2	NA18565_Hap2
GCA_044164665.1	NA19682_mat	NA19682	Hap2	NA19682_Hap2
GCA_044165205.1	NA19776_mat	NA19776	Hap2	NA19776_Hap2
GCA_044165335.1	NA19835_mat	NA19835	Hap2	NA19835_Hap2
GCA_044165395.1	NA19909_mat	NA19909	Hap2	NA19909_Hap2
GCA_044166065.1	NA20282_mat	NA20282	Hap2	NA20282_Hap2
GCA_044166135.1	NA20346_mat	NA20346	Hap2	NA20346_Hap2
GCA_044166615.1	NA20809_mat	NA20809	Hap2	NA20809_Hap2
GCA_044165565.1	NA20850_mat	NA20850	Hap2	NA20850_Hap2
GCA_044166635.1	NA21102_mat	NA21102	Hap2	NA21102_Hap2
GCA_044165025.1	NA21144_mat	NA21144	Hap2	NA21144_Hap2
GCA_018472765.3	HG00735_mat	HG00735	Hap2	HG00735_Hap2
GCA_043304655.1	HG02155_mat	HG02155	Hap2	HG02155_Hap2
GCA_018469955.2	HG02630_mat	HG02630	Hap2	HG02630_Hap2
GCA_043304535.1	HG03139_mat	HG03139	Hap2	HG03139_Hap2
GCA_043304965.1	HG03470_mat	HG03470	Hap2	HG03470_Hap2
GCA_018472825.2	HG03579_mat	HG03579	Hap2	HG03579_Hap2
GCA_043304515.1	NA20805_mat	NA20805	Hap2	NA20805_Hap2
GCA_046332455.1	NA18940_pat	NA18940	Hap1	NA18940_Hap1
GCA_046332485.1	NA18943_pat	NA18943	Hap1	NA18943_Hap1
GCA_046332435.1	NA18944_pat	NA18944	Hap1	NA18944_Hap1
GCA_046332375.1	NA18945_pat	NA18945	Hap1	NA18945_Hap1
GCA_046332325.1	NA18948_pat	NA18948	Hap1	NA18948_Hap1
GCA_046332285.1	NA18959_pat	NA18959	Hap1	NA18959_Hap1
GCA_046332185.1	NA18960_pat	NA18960	Hap1	NA18960_Hap1
GCA_046332195.1	NA18967_pat	NA18967	Hap1	NA18967_Hap1
GCA_046332135.1	NA18970_pat	NA18970	Hap1	NA18970_Hap1
GCA_046332025.1	NA18982_pat	NA18982	Hap1	NA18982_Hap1
GCA_046332495.1	NA18940_mat	NA18940	Hap2	NA18940_Hap2
GCA_046332475.1	NA18943_mat	NA18943	Hap2	NA18943_Hap2
GCA_046332355.1	NA18944_mat	NA18944	Hap2	NA18944_Hap2
GCA_046332365.1	NA18945_mat	NA18945	Hap2	NA18945_Hap2
GCA_046332305.1	NA18948_mat	NA18948	Hap2	NA18948_Hap2
GCA_046332235.1	NA18959_mat	NA18959	Hap2	NA18959_Hap2
GCA_046332225.1	NA18960_mat	NA18960	Hap2	NA18960_Hap2
GCA_046332145.1	NA18967_mat	NA18967	Hap2	NA18967_Hap2
GCA_046332065.1	NA18970_mat	NA18970	Hap2	NA18970_Hap2
GCA_046332015.1	NA18982_mat	NA18982	Hap2	NA18982_Hap2
GCA_046332035.1	HG06807_pat	HG06807	Hap1	HG06807_Hap1
GCA_046332005.1	HG06807_mat	HG06807	Hap2	HG06807_Hap2
GCA_018852605.3	HG002_pat	HG002	Hap1	HG002_Hap1
GCA_018852615.3	HG002_mat	HG002	Hap2	HG002_Hap2
GCA_046629205.1	NA20503_pat	NA20503	Hap1	NA20503_Hap1
GCA_046629215.1	NA20762_pat	NA20762	Hap1	NA20762_Hap1
GCA_046629225.1	NA20806_mat	NA20806	Hap2	NA20806_Hap2
GCA_046629235.1	NA20806_pat	NA20806	Hap1	NA20806_Hap1
GCA_046629265.1	NA20827_mat	NA20827	Hap2	NA20827_Hap2
GCA_046629565.1	NA20503_mat	NA20503	Hap2	NA20503_Hap2
GCA_046629575.1	NA20762_mat	NA20762	Hap2	NA20762_Hap2
GCA_046629585.1	NA20827_pat	NA20827	Hap1	NA20827_Hap1
